type,category_internal_id,category_path,category_is_available,category_description
category,,10-15 Yrs,true,
category,,2-4 Yrs,true,
category,,7-11 Yrs,true,
category,,Accessories > Baby seats,true,
category,,Accessories > Bags and Baskets,true,
category,,Accessories > Bells,true,
category,,Accessories > Bike Locks,true,
category,,Accessories > Bike Racks,true,
category,,Accessories > Bike storage,true,
category,,Accessories > Bottles &,true,
category,,Accessories > Computers and mounts,true,
category,,Accessories > Lights,true,
category,,Accessories > Maintenance,true,
category,,Accessories > Maintenance > Cleaning,true,
category,,Accessories > Maintenance > Lubes and oils,true,
category,,Accessories > Maintenance > Tools and Repair,true,
category,,Accessories > Mud Guards,true,
category,,Accessories > Nutrition,true,
category,,Accessories > Pumps,true,
category,,Accessories > Trainers,true,
category,,Balance Bikes,true,
category,,Bikes > BMX Bikes,true,
category,,Bikes > Commuter &,true,
category,,Bikes > E Bikes,true,
category,,Bikes > E Bikes > E City &,true,
category,,Bikes > E Bikes > E MTB Bikes,true,
category,,Bikes > Mountain Bikes,true,
category,,Bikes > Mountain Bikes > Dual Suspension,true,
category,,Bikes > Mountain Bikes > Hard Tail,true,
category,,Bikes > Road Bikes,true,
category,,Cages,true,
category,,Clothing > Body Armour,true,
category,,Clothing > Body Armour > Body Guards,true,
category,,Clothing > Body Armour > Elbow Guards,true,
category,,Clothing > Body Armour > Knee and Shin Guards,true,
category,,Clothing > Eyewear,true,
category,,Clothing > Eyewear > Glasses,true,
category,,Clothing > Eyewear > Goggles,true,
category,,Clothing > Gloves,true,
category,,Clothing > Jerseys,true,
category,,Clothing > Jerseys > MTB,true,
category,,Clothing > Jerseys > Road,true,
category,,Clothing > Knicks and Shorts,true,
category,,Clothing > Knicks and Shorts > MTB,true,
category,,Clothing > Knicks and Shorts > Road,true,
category,,Clothing > Shoes,true,
category,,Clothing > Shoes > MTB,true,
category,,Clothing > Shoes > Road,true,
category,,Clothing > Socks,true,
category,,Clothing > Vests &,true,
category,,Commuter,true,
category,,Gift Ideas,true,
category,,Gift Ideas > For BMX Riders,true,
category,,Gift Ideas > For Leisure Cyclists,true,
category,,Gift Ideas > For Mountain Bikers,true,
category,,Gift Ideas > For Road Cyclists,true,
category,,Gift Ideas > For Scooter Riders,true,
category,,Gift Ideas > Gifts For Kids,true,
category,,Helmets > BMX helmets,true,
category,,Helmets > Kids helmets,true,
category,,Helmets > MTB helmets,true,
category,,Helmets > Recreational helmets,true,
category,,Helmets > Road helmets,true,
category,,Jackets,true,
category,,M,true,
category,,Parts > Dropper Posts,true,
category,,Parts > Grips,true,
category,,Parts > Pedals and cleats,true,
category,,Parts > Pedals and cleats > BMX,true,
category,,Parts > Pedals and cleats > MTB,true,
category,,Parts > Pedals and cleats > Road,true,
category,,Parts > Saddles,true,
category,,Parts > Saddles > MTB,true,
category,,Parts > Saddles > Other,true,
category,,Parts > Stems,true,
category,,Parts > Tube,true,
category,,Parts > Tyres,true,
category,,Parts > Tyres > MTB,true,
category,,"Parts > Tyres > MTB > 27.5\""",true,
category,,Parts > Tyres > MTB > 29,true,
category,,Parts > Tyres > Road,true,
category,,Scooters > Kids Scooters,true,
category,,Scooters > Scooters Parts and Accessories,true,
category,,Scooters > Stunt Scooters,true,
category,,Uncategorized,true,
category,,Urban,true,
